;category;title;description;price;level;img_alt;img_url;product_quantity;product_details;img_src
168;IT I OPROGRAMOWANIE;Kurs Excel w Twojej firmie - praktyczne zastosowania;Naucz się efektywnie wykorzystywać Excela w swojej firmie do realizacji codziennych zadań. Poznaj przydatne funkcje i narzędzia, które ułatwią Ci prowadzenie biznesu.;99;Średniozaawansowany;Kurs Excel w Twojej firmie - praktyczne zastosowania;;1000;24 materiałów treningowych i 34 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_excel_w_twojej_firmie_-_praktyczne_zastosowania.jpg
169;IT I OPROGRAMOWANIE;Kurs Makra i VBA w Excelu dla początkujących;Zobacz jak przyspieszyć i zautomatyzować swoją pracę w Excelu. Zacznij stosować makra i VBA i zapomnij o żmudnym kopiowaniu danych i ręcznym sporządzaniu raportów!;89;Podstawowy;Kurs Makra i VBA w Excelu dla początkujących;;1000;20 materiałów treningowych i 28 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_makra_i_vba_w_excelu_dla_poczatkujacych.jpg
170;IT I OPROGRAMOWANIE;Kurs Jenkins - nowoczesny workflow CI/CD;Opanuj Jenkins od podstaw, naucz się automatyzować zadania i zostań mistrzem DevOps. ;69;Podstawowy;Kurs Jenkins - nowoczesny workflow CI/CD;;1000;20 materiałów treningowych i 39 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_jenkins_-_nowoczesny_workflow_ci_cd.jpg
171;IT I OPROGRAMOWANIE;Kurs Kubernetes od podstaw - zarządzanie i automatyzacja kontenerów;Naucz się wytwarzać i dostarczać aplikacje w oparciu o Kubernetes. Zdobądź solidne podstawy i wiele praktycznych umiejętności w pracy z kontenerami.;69;Średniozaawansowany;Kurs Kubernetes od podstaw - zarządzanie i automatyzacja kontenerów;;1000;20 materiałów treningowych i 50 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_kubernetes_od_podstaw_-_zarzadzanie_i_automatyzacja_kontenerow.jpg
172;IT I OPROGRAMOWANIE;Kurs Sieci komputerowe dla początkujących;Zrozum zasady działania sieci, opanuj konfigurację routera, tworzenie bezpiecznych sieci WiFi i naucz się rozwiązywać typowe problemy sieciowe.;69;Podstawowy;Kurs Sieci komputerowe dla początkujących;;1000;21 materiałów treningowych i 21 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_sieci_komputerowe_dla_poczatkujacych.jpg
173;IT I OPROGRAMOWANIE;Kurs Ethical Hacking i cyberbezpieczeństwo od podstaw;Naucz się technik etycznego hakowania. Dowiedz się jak wykonywać testy penetracyjne i skutecznie zabezpieczyć swoją sieć i urządzenia.;89;Podstawowy;Kurs Ethical Hacking i cyberbezpieczeństwo od podstaw;;1000;20 materiałów treningowych i 49 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_ethical_hacking_i_cyberbezpieczenstwo_od_podstaw.jpg
174;IT I OPROGRAMOWANIE;Kurs Active Directory dla administratora systemu;Opanuj narzędzia Active Directory i rozwiń swoją wiedzę na temat administracji domeną Windows. Dowiedz się jak zarządzać użytkownikami, komputerami, grupami i wykonywać kopie zapasowe bazy danych.;69;Średniozaawansowany;Kurs Active Directory dla administratora systemu;;1000;20 materiałów treningowych i 37 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_active_directory_dla_administratora_systemu.jpg
175;IT I OPROGRAMOWANIE;Kurs Jak zadbać o bezpieczeństwo w IT;Dowiedz się jak unikać zagrożeń i dbać o bezpieczeństwo, jeżeli pracujesz w branży IT i na co dzień korzystasz z komputera i internetu.;59;Podstawowy;Kurs Jak zadbać o bezpieczeństwo w IT;;1000;27 materiałów treningowych i 44 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_jak_zadbac_o_bezpieczenstwo_w_it.jpg
176;IT I OPROGRAMOWANIE;Kurs Docker dla zaawansowanych;Opanuj zaawansowane techniki pracy z Dockerem i zdobądź umiejętności niezbędne do sprawnej implementacji procesów CI/CD.;69;Zaawansowany;Kurs Docker dla zaawansowanych;;1000;26 materiałów treningowych i 47 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_docker_dla_zaawansowanych.jpg
177;IT I OPROGRAMOWANIE;Kurs Power Pivot - analiza i modelowanie danych w Excelu;Wykorzystaj możliwości Power Pivot i naucz się optymalnie przetwarzać, analizować i modelować dowolne dane w Excelu. ;59;Średniozaawansowany;Kurs Power Pivot - analiza i modelowanie danych w Excelu;;1000;20 materiałów treningowych i 20 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_power_pivot_-_analiza_i_modelowanie_danych_w_excelu.jpg
178;IT I OPROGRAMOWANIE;Kurs Evernote - zwiększ swoją produktywność;Naucz się lepiej zarządzać swoimi notatkami, dokumentami i organizować codzienną pracę dzięki Evernote. Zacznij oszczędzać czas i zwiększ swoją produktywność.;39;Podstawowy;Kurs Evernote - zwiększ swoją produktywność;;1000;15 materiałów treningowych i 17 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_evernote_-_zwieksz_swoja_produktywnosc.jpg
179;IT I OPROGRAMOWANIE;Kurs Power Query - przetwarzanie danych w Excelu;Wykorzystaj Power Query do podejmowania optymalnych decyzji. Zostań ekspertem od pobierania, organizowania oraz analizowania danych.;49;Średniozaawansowany;Kurs Power Query - przetwarzanie danych w Excelu;;1000;20 materiałów treningowych i 26 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_power_query_-_przetwarzanie_danych_w_excelu.jpg
180;IT I OPROGRAMOWANIE;Kurs Programowanie VBA w Excelu dla zaawansowanych;Zacznij wykorzystywać pełny potencjał VBA w Excelu i zautomatyzuj swoją pracę z danymi.;69;Zaawansowany;Kurs Programowanie VBA w Excelu dla zaawansowanych;;1000;23 materiałów treningowych i 50 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_programowanie_vba_w_excelu_dla_zaawansowanych.jpg
181;IT I OPROGRAMOWANIE;Kurs Linux Ubuntu od podstaw;Dowiedz się jak prosto i szybko zmienić swój obecny system na Ubuntu. Naucz się podstaw obsługi Linuxa i opanuj pracę w konsoli.;59;Podstawowy;Kurs Linux Ubuntu od podstaw;;1000;22 materiałów treningowych i 44 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_linux_ubuntu_od_podstaw.jpg
182;IT I OPROGRAMOWANIE;Kurs PowerShell dla administratora Windows;Opanuj linię komend i naucz się automatyzować powtarzalne zadania w systemie Windows wykorzystując możliwości PowerShell.;59;Średniozaawansowany;Kurs PowerShell dla administratora Windows;;1000;20 materiałów treningowych i 38 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_powershell_dla_administratora_windows.jpg
183;IT I OPROGRAMOWANIE;Kurs Wydajna praca z MacOS;Wykorzystaj potencjał aplikacji, które już na starcie znajdziesz w swoim Macu. Opanuj pracę z pakietem biurowym i zaawansowanymi narzędziami MacOS w kilka godzin!;27;Średniozaawansowany;Kurs Wydajna praca z MacOS;;1000;24 materiałów treningowych i 23 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_wydajna_praca_z_macos.jpg
184;IT I OPROGRAMOWANIE;Kurs Todoist - skuteczne planowanie i realizacja zadań;Poznaj sekret produktywności i naucz się efektywnie planować oraz realizować codzienne zadania z Todoist. Zacznij skuteczniej organizować swój dzień, tak aby nie zabrakło Ci czasu!;27;Podstawowy;Kurs Todoist - skuteczne planowanie i realizacja zadań;;1000;20 materiałów treningowych i 21 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_todoist_-_skuteczne_planowanie_i_realizacja_zadan.jpg
185;IT I OPROGRAMOWANIE;Kurs Podstawy bezpieczeństwa w Internecie dla każdego;Dowiedz się jak zabezpieczyć swój komputer i smartfon przed internetowymi oszustami. Poznaj metody działań cyberprzestępców i naucz się przed nimi skutecznie bronić.;59;Podstawowy;Kurs Podstawy bezpieczeństwa w Internecie dla każdego;;1000;34 materiałów treningowych i 20 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_podstawy_bezpieczenstwa_w_sieci_dla_kazdego.jpg
186;IT I OPROGRAMOWANIE;Kurs MikroTik - administracja siecią od podstaw;Skonfiguruj swój domowy router od podstaw i zyskaj pełną kontrolę na swoją siecią domową. Zdobądź wiedzę na temat MikroTik’a jednego z najbardziej elastycznych producentów sprzętu sieciowego na rynku.;69;Podstawowy;Kurs MikroTik - administracja siecią od podstaw;;1000;24 materiałów treningowych i 25 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_mikrotik_-_administracja_siecia_od_podstaw.jpg
187;IT I OPROGRAMOWANIE;Kurs Podstawy Networkingu oraz konfiguracji sieci w Linux;Dowiedz się wszystkiego na temat konfiguracji sieci w Linuxie. Zdobądź praktyczną wiedzę na temat networkingu, niezbędną w pracy administratora oraz inżyniera sieci.;69;Podstawowy;Kurs Podstawy Networkingu oraz konfiguracji sieci w Linux;;1000;21 materiałów treningowych i 50 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_podstawy_networkingu_oraz_konfiguracji_sieci_w_linux.jpg
188;IT I OPROGRAMOWANIE;Kurs Excel 2019 od podstaw;Poznaj Excel od podstaw w kilka godzin. Dowiedz się jak bez wysiłku wykonać kluczowe czynności, jak zautomatyzować pracę i jak rozpocząć przygodę z tabelami przestawnymi.;79;Podstawowy;Kurs Excel 2019 od podstaw;;1000;23 materiałów treningowych i 55 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_excel_2019_od_podstaw.jpg
189;IT I OPROGRAMOWANIE;Kurs Microsoft Teams - efektywna praca zdalna;Wykorzystaj najnowsze technologie w pracy zdalnej. Dowiedz się jak za pomocą Microsoft Teams efektywnie zarządzać zespołem, prowadzić komunikację, dzielić się plikami i realizować projekty.;59;Podstawowy;Kurs Microsoft Teams - efektywna praca zdalna;;1000;32 materiałów treningowych i 23 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_microsoft_teams_-_efektywna_praca_zdalna.jpg
190;IT I OPROGRAMOWANIE;Kurs Narzędzia Google w domu i firmie;Opanuj pakiet biurowy G Suite, twórz dokumenty, współpracuj z innymi osobami, zarządzaj łatwo plikami i zwiększ swoją produktywność dzięki usługom Google.;59;Podstawowy;Kurs Narzędzia Google w domu i firmie;;1000;45 materiałów treningowych i 85 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_narzedzia_google_w_domu_i_firmie.jpg
