	category	title	description	price	level	lectures_count	training_materials_count	img_alt
70	programowanie	Kurs HTML i JavaScript - praktyczne projekty	Poznaj zaawansowane możliwości HTML5 i JavaScript. Wykorzystaj je by tworzyć atrakcyjne i nowoczesne witryny.	49	Średniozaawansowany	32	20	Kurs HTML i JavaScript - praktyczne projekty
71	programowanie	Kurs PostgreSQL - administracja bazami danych	Naucz się administracji relacyjnymi bazami danych i wykorzystaj możliwości PostgreSQL - jednego z najlepszych i darmowych rozwiązań na rynku	49	Średniozaawansowany	55	58	Kurs PostgreSQL - administracja bazami danych
72	programowanie	Jak zostać developerem JAVA	Dowiedz się co oprócz umiejętności programowania jest niezbędne, aby zostać programistą JAVA	59	Podstawowy	47	39	Jak zostać developerem JAVA
73	programowanie	Projektowanie RESTful API - dobre praktyki	Dowiedz się jak krok po kroku od podstaw stworzyć REST API najwyższej klasy. Poznaj dobre praktyki i metody implementacji z wykorzystaniem popularnego frameworka Spring Boot.	49	Średniozaawansowany	30	18	Projektowanie RESTful API - dobre praktyki
74	programowanie	Kurs WordPress - tworzenie stron od podstaw	Stwórz samodzielnie nowoczesną stronę z WordPress i naucz się nią zarządzać. Dowiedz się jak wykorzystać najlepsze wtyczki, instalować motywy i wdrożyć stronę na serwer.	69	Podstawowy	50	20	Kurs WordPress - tworzenie stron od podstaw
75	programowanie	Kurs Python - zaawansowany	Naucz się wykorzystywać obiektowe aspekty języka Python. Poznaj dobre praktyki tworzenia desktopowych aplikacji i automatycznego testowania interfejsów webowych z wykorzystaniem frameworka Selenium.	79	Zaawansowany	48	33	Kurs Python - zaawansowany
76	programowanie	Flexbox & Grid - responsywne layouty od podstaw	Naucz się wykorzystywać Flexbox i Grid do tworzenia responsywnych layoutów. Spraw, by Twoje strony wyświetlały się poprawnie na wszystkich urządzeniach.	49	Podstawowy	28	21	Flexbox & Grid - responsywne layouty od podstaw
77	programowanie	Własna aplikacja - od pomysłu do zarabiania	Napisz aplikację, która odniesie sukces! Dowiedz się jak wybrać platformę, technologię i skąd pozyskać finansowanie. Poznaj sposoby targetowania użytkowników i zacznij zarabiać na swoim pomyśle.	27	Średniozaawansowany	43	42	Własna aplikacja - od pomysłu do zarabiania
78	programowanie	Kurs Microsoft SQL Server - od podstaw	Opanuj pracę w Microsoft SQL Server od podstaw. Dowiedz się jak projektować bazy danych z Management Studio i T-SQL. Naucz się nimi zarządzać i wykorzystywać w różnych środowiskach.	69	Podstawowy	47	23	Kurs Microsoft SQL Server - od podstaw
79	programowanie	Kurs Python - średniozaawansowany	Rozwiń swoje umiejętności programowania w języku Python. Naucz się pisać zaawansowane skrypty i wykorzystaj obiektowość do tworzenia interaktywnych aplikacji okienkowych.	69	Średniozaawansowany	51	22	Kurs Python - średniozaawansowany
80	programowanie	Kurs Vue.js - zaawansowany	Zdobądź zaawansowane umiejętności pracy z frameworkiem Vue.js i zobacz jak w łatwy i szybki sposób, można tworzyć świetnie wyglądające i wydajne aplikacje!	39	Zaawansowany	64	46	Kurs Vue.js - zaawansowany
81	programowanie	Kurs VIM - techniki pracy	Poznaj możliwości edytora VIM i zacznij wykorzystywać go do zadań programistycznych i administracyjnych. Ułatw sobie codzienną pracę bez względu na system, z którego korzystasz	14	Podstawowy	39	34	Kurs VIM - techniki pracy
82	programowanie	Kurs Vue.js - od podstaw	Twórz nowoczesne aplikacje webowe we frameworku JavaScript. Zdobądź podstawy pracy z Vue.js przechodząc przez cały proces tworzenia Single Page Application	49	Podstawowy	63	42	Kurs Vue.js - od podstaw
83	programowanie	Kurs Linux dla web developera	Automatyzuj zadania, wdrażaj aplikacje na serwer, zapewniaj im bezpieczeństwo oraz stabilność. Rozwijaj aplikacje nie wykonując żmudnych czynności administracyjnych	49	Średniozaawansowany	42	18	Kurs Linux dla web developera
84	programowanie	Kurs Bezpieczeństwo aplikacji webowych	Dowiedz się jak rozpoznawać podatności, lokalizować ich przyczyny w kodzie źródłowym i chronić się przed najczęściej występującymi atakami	24	Średniozaawansowany	28	21	Kurs Bezpieczeństwo aplikacji webowych
85	programowanie	Kurs JAVA - testy jednostkowe	Pisz testy jednostkowe z wykorzystaniem JUnit4 i 5. Zobacz jak przygotować kod aplikacji, organizować testy technikami GWT i unikać zależności wykorzystując Mockito	39	Średniozaawansowany	33	32	Kurs JAVA - testy jednostkowe
86	programowanie	Kurs C# - programowanie w LINQ	Ułatw sobie pracę z kolekcjami danych z LINQ! Opanuj tworzenie podstawowych i zaawansowanych zapytań, sortuj, filtruj, grupuj i agreguj dane z różnych źródeł	39	Średniozaawansowany	58	33	Kurs C# - programowanie w LINQ
87	programowanie	Kurs JAVA - wzorce projektowe	Dowiedz się jak za pomocą wzorców kreacyjnych, czynnościowych i strukturalnych rozwiązywać najczęstsze problemy programistyczne	39	Średniozaawansowany	32	30	Kurs JAVA - wzorce projektowe
88	programowanie	Kurs JAVA Hibernate - aplikacje bazodanowe	Twórz aplikacje bazodanowe w JAVA dzięki frameworkowi Hibernate. Wykorzystuj obiektowy język zapytań HQL i twórz zaawansowane relacje	49	Średniozaawansowany	54	39	Kurs JAVA Hibernate - aplikacje bazodanowe
89	programowanie	Junior Front-end Developer - pierwsza praca	Zobacz co powinieneś umieć na start, gdzie szukać pracy i jak poradzić sobie podczas zadań rekrutacyjnych	39	Podstawowy	49	29	Junior Front-end Developer - pierwsza praca
90	programowanie	Kurs C# - programowanie obiektowe	Naucz się używać klas, interfejsów, komponentów i rozwiązywać problemy za pomocą programowania obiektowego	49	Średniozaawansowany	74	33	Kurs C# - programowanie obiektowe
91	programowanie	Kurs Linux dla programisty	Opanuj szeroki zestaw technik, które powinien znać każdy programista pracujący na Linuxie	49	Średniozaawansowany	48	6	Kurs Linux dla programisty
92	programowanie	Kurs Angular - profesjonalne techniki pracy	Dowiedz się jak tworzyć kompletne aplikacje za pomocą frameworka Angular 6 i usług Google Firebase.	24	Zaawansowany	39	7	Kurs Angular - profesjonalne techniki pracy
93	programowanie	Podstawy programowania sterowników PLC	Opanuj język drabinkowy i wejdź w świat sterowników PLC już dziś!	49	Podstawowy	54	7	Podstawy programowania sterowników PLC
94	programowanie	Najpopularniejsze biblioteki JAVA	Poznaj najlepsze biblioteki JAVA, które przyspieszą kodowanie aplikacji i ułatwią Ci codzienne zadania.	49	Średniozaawansowany	66	11	Najpopularniejsze biblioteki JAVA
95	programowanie	Kurs C# - typy generyczne	Dowiedz się jak tworzyć bezpieczne i wydajne struktury danych za pomocą typów generycznych	39	Średniozaawansowany	44	4	Kurs C# - typy generyczne
96	programowanie	Warsztaty tworzenia stron internetowych	Zbuduj aż trzy kompletne strony na podstawie projektu graficznego	69	Średniozaawansowany	97	1	Warsztaty tworzenia stron internetowych
97	programowanie	Fundamenty programowania w języku C#	Opanuj podstawy języka C# i zacznij programować pierwszej aplikacje jeszcze dziś!	59	Podstawowy	65	7	Fundamenty programowania w języku C#
98	programowanie	Kurs Bash - skrypty i automatyzacja	Naucz się programować w bash i wykorzystaj tę wiedzę do automatyzacji zadań w systemach Linux  i Windows	39	Podstawowy	45	4	Kurs Bash - skrypty i automatyzacja
99	programowanie	Fundamenty programowania w języku Python	Kompletne wprowadzenie do programowania w jednym z najpopularniejszych języków	89	Podstawowy	64	10	Fundamenty programowania w języku Python
100	programowanie	Kurs JAVA średniozaawansowany	Wyjdź poza podstawy i poznaj praktyczne techniki programowania w JAVA	59	Średniozaawansowany	72	4	Kurs JAVA średniozaawansowany
101	programowanie	Kurs Java - Narzędzia developera	Naucz się szybciej pisać kod lepszej jakości i zdobądź umiejętności, których wymagają pracodawcy	49	Podstawowy	55	8	Kurs Java - Narzędzia developera
102	programowanie	Kurs Programowanie asynchroniczne w JavaScript	Poznaj i zrozum fundamentalne koncepcje programowania asynchronicznego w JavaScript	39	Średniozaawansowany	42	1	Kurs Programowanie asynchroniczne w JavaScript
103	programowanie	Kurs Programowanie obiektowe w JavaScript	Dowiedz się na czym naprawdę polega istota obiektowego JavaScript	39	Średniozaawansowany	39	1	Kurs Programowanie obiektowe w JavaScript
104	programowanie	Kurs PHP - średniozaawansowany	Przejdź na wyższy poziom programowania w języku PHP	59	Średniozaawansowany	53	14	Kurs PHP - średniozaawansowany
105	programowanie	Kurs Docker - środowiska developerskie	Zobacz, jak łatwo możesz rozwijać i wdrażać aplikacje dzięki wykorzystaniu technologii Docker.	49	Podstawowy	56	7	Kurs Docker - środowiska developerskie
106	programowanie	Programuj Dziewczyno!	Kurs zapozna Cię z podstawami technologii front-endowych i pokaże jak od zera zakodować stronę internetową 	39	Podstawowy	55	15	Programuj Dziewczyno!
107	programowanie	Kurs SFML - podstawy tworzenia gier w C++	Zdobądź podstawy tworzenia gier w C++ wykorzystując popularną i darmową bibliotekę SFML	39	Podstawowy	47	2	Kurs SFML - podstawy tworzenia gier w C++
